País,Year,Incidente,Detalles
 Pakistán,2016,Atentado de Lahore de 2016,"Un atentado suicida causado por un miembro de un grupo relacionado con el Estado Islámico en un parque donde se celebraba una misa cristiana por Semana Santa, en Lahore(Pakistán), deja un balance de al menos 75 muertos y 340 heridos. Entre los fallecidos hay al menos 29 niños."
 Perú,2016,Atentados de Santo Domingo de Acobamba y Llochegua de 2016,"Atentados de Santo Domingo de Acobamba y Llochegua, en las regiones peruanas de Junín y Ayacucho un grupo de subversivos lanzan un ataque sorpresa donde acribillan a una camioneta con carga electoral.
Durante todo el camino de la camioneta, se llevaron varios roces dando como resultado la muerte de dos militares y dos civiles.
Sendero Luminoso se adjudicó este ataque como forma de boicot contra las elecciones de 2016 de ese país sudamericano."
 Israel,2016,Bomba en autobús de Jerusalén,"Ataque patrocinado por Hamás con bomba contra un autobús en Jerusalén. Al menos 21 personas resultaron heridas, 2 heridas gravemente.
Hamás se atribuyó la responsabilidad del ataque, nombrando a Abdel Hamid Abu Srour (19 años), como el autor del atentado.73"
 Israel,2016,Tiroteo en el Mercado Sarona de Tel Aviv,Un tiroteo en un mercado de Tel Aviv efectuado por 3 palestinos con AK-47 deja 4 muertos y 18 heridos.
 Estados Unidos,2016,Masacre de la discoteca Pulse de Orlando,"Se produce un tiroteo dentro de una discoteca gay, en la ciudad de Orlando, Florida.
El ataque fue el más violento y mortal en contra de la LGBT.
Dejó 49 personas muertas y 53 heridos. El autor de la masacre fue identificado como Omar Mateen, radicalizado como miembro del Estado Islámico."
 Turquía,2016,Atentado del Aeropuerto Internacional Atatürk,"Un tiroteo masivo y tres explosiones suicidas en diferentes partes del Aeropuerto Internacional Atatürk, Estambul, deja 45 muertos (42 civiles y tres terroristas) y 239 heridos.
El Estado Islámico ha reivindicado el atentado."
 Bangladés,2016,Atentado de Daca de 2016,"Un grupo de personas atacan un restaurante en el centro de Daca, capital del país, tomando rehenes, luego, matando a 20 personas (todas extranjeras) y dejando un grupo de personas heridas.
ISIS se adjudicó el atentado, pero el Gobierno de Bangladés dice que no hay presencia de este grupo en el país."
 Irak,2016,Atentados de Bagdad del 3 de julio de 2016,"Al menos 309 personas mueren y 246 resultan heridas luego de un doble ataque suicida en un barrio principalmente chií en Bagdad, Irak. El Estado Islámico declaró ser el autor de dichos atentados."
 Estados Unidos,2016,Atentado contra policías de Dallas de 2016,"Se producen varios tiroteos contra policías del Departamento de Policía de Dallas, Texas, en represalia por los asesinatos de 2 personas de raza negra a manos de «policías blancos». Los ataques dejaron 5 muertos y 10 heridos.
El perpetrador del tiroteo, Micah Xavier Johnson, es abatido por la policía en el mismo tiroteo."
 Francia,2016,Atentado de Niza de 2016,"Durante las celebraciones del Día de la Bastilla en la ciudad francesa de Niza, un sujeto posiblemente miembro del Estado Islámico a bordo de un camión embistió a centenares de personas que se encontraban en una avenida conocida como Paseo de los Ingleses.
Se han reportado 87 fallecidos (incluyendo al perpetrador) y 458 heridos, muchos de ellos niños."
 Alemania,2016,Ataque en el tren a Wurzburgo de 2016,"Durante un viaje por tren entre las localidades de Treuchtlingen y Wurzburgo (Alemania), un refugiado afgano de 17 años atacó a los pasajeros con un hacha y cuchillo, dejando un saldo de cuatro viajeros heridos. El terrorista fue abatido por las fuerzas de seguridad alemanas.
El atentado fue reivindicado por el Estado Islámico."
 Alemania,2016,Tiroteo de Múnich de 2016,"Un tiroteo registrado en un centro comercial en Múnich, efectuado por 3 atacantes, deja un saldo de al menos 9 muertos y 30 heridos.
El ataque fue reconocido por el Estado Islámico. Uno de los atacantes se suicidó a pocas cuadras del lugar. Los 2 restantes escaparon."
 Alemania,2016,Explosión de Ansbach de 2016,"Un ciudadano sirio se hace estallar en las afueras de un bar en el pueblo de Ansbach mientras se celebraba un festival de música en la localidad, el ataque dejó quince personas heridas, cuatro de gravedad, además de la muerte del terrorista.
El acto fue reivindicado por el Estado Islámico como respuesta a los bombardeos de fuerzas internacionales (entre ellas tropas alemanas) realizados en contra de la organización terrorista en Irak y Siria."
 Francia,2016,Atentado de la iglesia de Saint-Étienne-du-Rouvray,"Dos hombres armados entran en una iglesia de Normandía al grito de “Alá es grande” tomando como rehenes al cura, tres monjas y dos fieles. Una de las monjas logra escapar y avisa a la policía de lo que estaba sucediendo. El resultado fue un muerto (el cura de 84 años) y dos heridos, uno de ellos en estado crítico."
 Bélgica,2016,Ataque en Charleroi de 2016,"Un hombre ataca con machete a dos mujeres policía en la ciudad de Charleroi, Bélgica.
El atacante fue abatido por otra agente de policía."
 Pakistán,2016,Ataques en Quetta de 2016,"Un hombre con ocho kilos de explosivos hizo detonar las bombas en la entrada de emergencias del Hospital Civil de Quetta, provincia del suroeste de Pakistán de la que Quetta es capital.
Al menos 93 personas murieron y otras 120 resultaron heridas en un ataque perpetrado por Estado Islámico."
 Turquía,2016,Atentado de Gaziantep de 2016,"Un niño de 12 años comete un atentado suicida en una boda kurda en Gaziantep, al sureste de Turquía. El atentado ha dejado al menos 50 muertos y entre 69-94 heridos, algunos en estado muy crítico.74"
 Estados Unidos,2016,Atentados en Nueva York y Nueva Jersey de 2016,"En el barrio de Chelsea de Manhattan, Nueva York, una fuerte explosión deja al menos 29 personas heridas. Horas más tarde en Seaside Park, Nueva Jersey, se produce otra explosión obligando a cancelar una carrera benéfica programada para esa noche. Horas después las autoridades estadounidenses detienen luego de un tiroteo a Ahmad Khan Rahami sospechoso de haber perpetrado los ataques."
 Estados Unidos,2016,Atentado de la Universidad Estatal de Ohio de 2016,"Un hombre, por motivos islamistas, atropella con su automóvil a una decena de personas en la Universidad Estatal de Columbus. Después apuñala a otro grupo de personas.
Al menos 13 han resultado heridas y el atacante ha muerto."
 Turquía,2016,Atentados de Estambul de diciembre de 2016,"Una explosión suicida y un coche bomba estallan en las afueras del Estadio Vodafone Park, contra furgones de la policía, después de un partido del Besiktas. Los atentados dejaron 46 muertos y 155 heridos.
El grupo terrorista kurdo PKK reivindicó los atentados."
 Egipto,2016,Atentado de El Cairo de 2016,"Un atacante suicida, miembro del Estado Islámico detona un cinturón con explosivos en la Iglesia de San Pedro y San Pablo de El Cairo. Al menos 29 personas han muerto y 47 heridos, algunos en estado muy grave."
 Suiza,2016,Tiroteo de Zúrich de 2016,Se produce un tiroteo en un Centro Islámico de Zúrich dejando al menos tres personas heridas. La policía encontró un cadáver en la zona e investiga si está relacionado. El incidente se trató como “ataque terrorista”.
 Turquía,2016,Asesinato de Andréi Kárlov,"Durante un míting en una exposición de arte en Ankara, el embajador ruso en Turquía, Andréi Kárlov, fue asesinado a tiros por un guardaespaldas que decía actuar en nombre de Alá y en venganza por la Guerra civil siria. Tres personas más resultaron heridas."
 Alemania,2016,Atentado de Berlín de 2016,"Un camión irrumpe en un mercado navideño de Berlín y causa al menos 12 muertos y 50 heridos. El atacante consiguió huir y murió abatido cuatro días más tarde en una estación de Milán, tras un tiroteo que dejó dos policías heridos.
El Estado Islámico reivindicó los atentados."
 Libia  Malta,2016,Vuelo 209 de Afriqiyah Airways,"Un Airbus A320 de la compañía Afriqiyah Airways que cubria la ruta ente Sabya y Trípoli con 118 personas a bordo fue secuestrado por simpatizantes de Gadafi. El avión acabó aterrizando en el Aeropuerto Internacional de Malta, Luqa y fue liberado por el ejército maltés sin que hubiera heridos."
 Turquía,2017,Atentado de Estambul de 2017,"Un tiroteo en una discoteca en el Distrito de Beşiktaş de Estambul, Turquía, se desató durante las fiestas de Año Nuevo.
Al menos 39 personas murieron y al menos 70 resultaron heridas en el incidente.
El atacante, miembro del Estado Islámico, fue detenido 20 días después del atentado."
 Estados Unidos,2017,Tiroteo en el Aeropuerto de Fort Lauderdale,"Un atentado se presenta dentro de la terminal aérea de Fort Lauderdale, Florida, un hombre armado dispara contra los pasajeros en una sala de recepción de equipaje, 5 personas murieron y 8 resultan heridas.
Se desconocen los motivos del ataque."
 Israel,2017,Atentado de Jerusalén de enero de 2017,"Un ciudadano palestino arrolló con su camión a un grupo de soldados en Jerusalén, con un saldo de cuatro muertos y al menos diecisiete heridos en la Ciudad vieja."
 México,2017,Ataques en Playa del Carmen y Cancún de 2017,"Un tiroteo dejó cinco muertos (entre ellos ciudadanos de Estados Unidos, Canadá y Colombia) y 15 heridos en una discoteca de Playa del Carmen, al sur de Cancún.
El hecho ocurrió el 16 de enero.
Al día siguiente, el 17 de enero, un ataque contra la fiscalía de Quintana Roo en Cancún con armas de fuego y granadas deja un policía muerto y tres agresores abatidos. Los Zetas se adjudicaron el ataque en Playa del Carmen mientras que el de Cancún aun se desconoce."
 Malí,2017,Atentado de Gao de 2017,"Un atacante suicida lanzó su vehículo contra un campamento militar en Gao, Mali. El ataque mató a 77 personas y dejó 120 heridos, siendo el atentado más mortífera de la historia de Mali.
Un grupo terrorista vinculado a Al-Qaeda reivindicó el atentado."
 Australia,2017,Ataque con vehículo de Melbourne de 2017,"Un automóvil embiste una multitud de personas en la calle Flinders Street, en el centro de Melbourne. El ataque dejó al menos 6 muertos y más de 30 heridos.
El atacante fue detenido después del incidente.75"
 Canadá,2017,Tiroteo de Quebec de 2017,"Un hombre identificado como Alexandre Bissonnette de ideas ultranacionalistas y de extrema derecha abre fuego con un rifle de asalto Vz. 58, una pistola y una semiautomática en el Centro Cultural Islámico de Quebec. El ataque dejó un balance de 6 muertos y 19 heridos, algunos en estado crítico."
 Francia,2017,Ataque con machete en el Museo del Louvre,"Un hombre que portaba un machete fue disparado y herido al intentar atacar a un soldado en el Museo del Louvre de París, mientras gritaba “Alá es grande”.
El soldado quedó herido en estado leve."
 Pakistán,2017,Atentado de Sehwan de 2017,"Un miembro de la organización terrorista Estado Islámico detonó explosivos durante una ceremonia sufí en Sehwan, Pakistán. El ataque tuvo como resultado 99 muertos y más 300 heridos."
 Francia,2017,Atentados en la Isla de Francia de marzo de 2017,"Un individuo miembro del Estado Islámico dispara e hiere a un policía en un control en Garges-lès-Gonesse, un suburbio de París. Después del tiroteo, el atacante le roba un arma automática a una soldado en la zona de embarque del Aeropuerto de París-Orly e hiere a otra persona.
El atacante murió abatido por las fuerzas de seguridad."
 Reino Unido,2017,Atentado de Westminster de 2017,"Se produjo un atentado en Parliament Square y en la zona del Palacio de Westminster. Un vehículo subió a la acera del Puente de Westminster, atropellando a los peatones que circulaban en aquel momento por allí, dejando una cuarentena de heridos y matando a cinco personas. A continuación, el coche se estrella con la verja del Parlamento, el agresor se baja y ataca a un policía con un cuchillo en Old Palace Yard. El policía fallece en el acto y el atacante es abatido a tiros por otros dos policías.
El incidente provocó la interrupción de la sesión en la Cámara de los Comunes y del servicio del metro londinense en la estación de Westminster.
Los incidentes están siendo tratados por la Policía Metropolitana (MPS) como un ataque terrorista, pero por el momento nadie ha reivindicado el atentado."
 Bangladés,2017,Atentado de Sylhet de 2017,"Cuatro explosiones suicidas en Sylhet, una de las ciudades más importantes de Bangladés, deja un balance de 10 muertos (4 civiles, 2 policías y 4 terroristas) y 53 heridos. Después de los atentados la policía realizó varias redadas y evitó nuevos ataques.
El Estado Islámico se hizo cargo de las explosiones, pero el gobierno del país apunta a un grupo terrorista islamista local."
 Rusia,2017,Atentado del metro de San Petersburgo de 2017,"Una explosión provocada por un artefacto explosivo de fabricación casera en el metro de San Petersburgo, deja 15 fallecidos y 64 heridos. El explosivo estaba compuesto de 300 gr. de material explosivo y metralla. El perpetrador es un joven de origen kirguís.
Horas más tarde se llegó a encontrar otro artefacto explosivo que no llegó a detonar."
 Suecia,2017,Atentado de Estocolmo de 2017,"Un atacante condujo un camión atropellando a varias personas a lo largo de la calle comercial Drottninggatan, cerca del centro comercial Åhléns, en Norrmalm, Estocolmo.
Se confirman al menos cuatro muertos (cuyas nacionalidades son dos de Suecia, uno del Reino Unido y uno de Bélgica) y quince heridos.76"
 Egipto,2017,Atentados de Domingo de Ramos en iglesias de Egipto de 2017,"Se produjeron dos ataques contra la comunidad cristiana copta en Egipto coincidiendo con la celebración del Domingo de Ramos. Ocurrieron en la iglesia copta Mar Guergues (San Jorge en árabe) en Tanta y frente a la catedral de Alejandría.
Fueron reivindicados por el Estado Islámico, provocando al menos 53 muertos y 204 heridos."
 Alemania,2017,Ataque al autobús del Borussia Dortmund,"Tres bombas explotan en el autobús del Borussia Dortmund antes de que se disputara la ida de los cuartos de final de la UEFA Champions League contra el AS Mónaco. Las explosiones dañaron seriamente el autobús e hirieron a Marc Bartra, jugador español y ex del FC Barcelona y a un policía. El partido tuvo que suspenderse.
La policía encontró un texto en árabe en la zona y detuvo a Sergej W. como responsable del ataque.77"
 Francia,2017,Tiroteo de París de 2017,"Un miembro del Estado Islámico dispara contra un furgón policial en los Campos Elíseos de París dejando un policía muerto y tres heridos, entre ellos una turista.
El atacante murió abatido por la policía.78"
 Tailandia,2017,Atentado de Pattani de 2017,"Una motocicleta y un camión explotan en un centro comercial de Pattani dejando al menos 60 heridos. Horas más tarde la policía encontró el cadáver de un hombre, quien supuestamente era el conductor del camión robado para cometer el atentado.79"
 Corea del Norte,2017,Ataques ransomware WannaCry,"Un Ransomware de origen norcoreano infecta a más de 10 000 organizaciones en 75 000 ataques diferentes en más de 150 países en todo el mundo80 (anteriormente 99 países), el malware tomó ventaja por un fallo en los sistemas que usaban el sistema operativo Microsoft Windows.81"
 Estados Unidos,2017,Atropello en Times Square,"Un auto se lanzó a una multitud de peatones en Times Square, Nueva York.
Al final del atropello, una mujer de 18 años murió y otras 22 personas quedaron heridas.82"
 Reino Unido,2017,Atentado de Mánchester de 2017,"Después de un concierto de Ariana Grande en el Manchester Arena, sucedió un atentado terrorista mediante una explosión suicida, donde supuestamente contenía clavos.
23 han muerto (incluyendo al autor) y más de 800 resultaron heridas según la policía.
El Estado Islámico reivindicó la matanza.83"
 Filipinas,2017,Batalla de Marawi (2017),"Miles de terroristas yihadistas Maúte y Abu Sayyaf atacan la ciudad de Marawi, en Lánao del Sur. Los enfrentamientos terminaron cinco meses después dejando 166 militares muertos y 1400 heridos, 974 terroristas muertos y 87 civiles muertos (4 por enfermedad). Miles de personas tuvieron que huir de la ciudad.
El resultado de la batalla fue «victoria filipina».84"
 Indonesia,2017,Atentado de Yakarta de 2017,"Dos explosiones suicidas en una terminal de autobuses en Yakarta Oriental, en el este de la capital de Indonesia, deja un balance de cinco muertos (entre ellos los 2 terroristas) y 10 heridos.
El Estado Islámico ha reivindicado los ataques.85"
 Egipto,2017,Atentado de Menia de 2017,"Un convoy que llevaba cristianos coptos en Menia, Egipto, fue detenido por hombres armados y dispararon contra todos los cristianos. Al menos 29 personas murieron y 24 resultaron heridas.
El Estado Islámico se atribuyó al atentado en un comunicado.86"
 Afganistán,2017,Atentado de Kabul de mayo de 2017,"Un camión bomba explota en la zona diplomática de Kabul, cerca de la embajada de Alemania. La brutal explosión derrumbó varios edificios de la zona y se notó en varios puntos de la ciudad. El ataque ha dejado al menos 150 muertos y 460 heridos.
La Red Haqqani ha reivindicado el atentado.87"
 Filipinas,2017,Asalto al Resorts World Manila,"Un hombre enmascarado dispara contra varias personas en el casino del Resorts World Manila. El atacante también le prendió fuego a las instalaciones. El ataque dejó al menos 38 muertos y 70 heridos.
El Estado Islámico reivindicó el atentado y el presidente de Estados Unidos, Donald Trump lo calificó como «atentado terrorista», pero el jefe de la policía de Manila, negó la vinculación del Estado Islámico.88"
 Reino Unido,2017,Atentado de Londres de junio de 2017,"89Ocurrió en el puente de Londres y en Borough Market, Londres (Reino Unido), donde un grupo de tres terroristas condujo un vehículo por la acera del puente de Londres, atropellando a los viandantes, y acto seguido los tres atacantes se bajaron del vehículo para apuñalar a numerosas personas en el mercado, una concurrida zona de restaurantes."
 Australia,2017,Toma de rehenes de Melbourne de 2017,"Un miembro del Estado Islámico dispara contra varios policías en el barrio de Brighton, en Melbourne, Australia y deja tres heridos. Después toma como rehén a una civil y acaba asesinandola. El atacante murió abatido por la policía.90"
 Irán,2017,Atentados de Teherán de 2017,"Cuatro miembros del Estado Islámico atacan con AK-47 la Asamblea Consultiva Islámica de Teherán y toman varios rehenes. Más tarde se produce un atentado suicida en el Mausoleo del Ayatolá Jomeini.
Los atentados dejaron un balance de 23 muertos (18 víctimas y 5 terroristas) y 52 heridos.91"
 Israel,2017,Tiroteo de Jerusalén de junio de 2017,"Al menos una policía ha muerto y cuatro han resultado heridos por un tiroteo y apuñalamiento en la Ciudad vieja de Jerusalén. Los servicios de seguridad informan que tres terroristas han sido neutralizados.
El Estado Islámico ha reivindicado el atentado.92"
 Colombia,2017,Atentado del centro comercial Andino,"Un artefacto explosivo fue colocado en el baño de mujeres del segundo piso del centro comercial Andino. Tres mujeres resultaron muertas, una de las cuales fue identificada con nacionalidad francesa, y otras ocho resultaron heridas.93"
 Reino Unido,2017,Atropello en Finsbury Park,Un hombre británico de extrema derecha atropella con una furgoneta un grupo de musulmanes que salían de una mezquita. Una persona ha muerto y 10 han resultado heridas.9495
 Francia,2017,Intento de atentado contra la policía francesa,"Un hombre, miembro del Estado Islámico en un coche armado con una pistola y varias bombonas de butano embiste un furgón policial en los Campos Elíseos de París, es el segundo ataque en esta zona en lo que va de año. El atacante murió tras recibir varios disparos. No se reportaron víctimas.96"
 Bélgica,2017,Atentado de Bruselas de 2017,"Alrededor de las 8:45 p. m. un terrorista detona una maleta con explosivos en la Estación Central de Bruselas sin causar víctimas. El atacante gritó «Alá es grande» y se intentó inmolar delante de un grupo de soldados, pero fue reducido y estalló sin causar heridos, solo muriendo él.
El Estado Islámico reivindicó el atentado.97"
 Ucrania,2017,Ciberataques en Ucrania de 2017,"Varias empresas y bancos en Kiev fueron hackeados con fines maliciosos por personas desconocidas, un día después, el gobierno de Ucrania dijo que frenó los ciberataques.98"
 Israel,2017,Tiroteo de Jerusalén de julio de 2017,"Tres terroristas palestinos con armas automáticas abren fuego contra un furgón policial en el Monte del Templo de la Ciudad vieja de Jerusalén, la zona más turística de la ciudad. Al menos dos policías han muerto y otras dos personas han resultado heridas. Los tres terroristas murieron abatidos.
El tiroteo supuso el cierre de mezquitas por parte de las autoridades israelíes.99"
 Alemania,2017,Ataque de Hamburgo de 2017,"Un ataque con un cuchillo perpetrado por miembros del Estado Islámico ocurrió en Hamburgo, Alemania, en el barrio Barmbek-Nord. El atacante entró en un supermercado y apuñaló a siete civiles, matando a uno y dejando seis heridos.100"
 Francia,2017,Atentado a militares de París de 2017,"Un yihadista embiste con su automóvil BMW a una decena de militares en Levallois-Perret, un suburbio de París. Al menos seis militares resultaron heridos, dos en estado grave.101"
 Guatemala,2017,Atentado al Hospital Roosevelt de 2017,"Mientras se trasladaba a un reo de la MS-13, varios hombres armados comenzaron a disparar contra el personal y a los guardias penitenciarios que lo llevaban, 5 minutos después, los pandilleros se dan a la fuga con el otro integrante, el hecho resultó con 7 muertos y 12 heridos.102"
 España,2017,Atentados de Cataluña de 2017,"Se produjo un atropello masivo con una furgoneta que recorrió 600 metros en la zona central de La Rambla de Barcelona. Por otro lado, horas después del ataque de Barcelona, en la noche del 17 al 18 se produjo un intento de atentado en Cambrils. En los atentados, la autoría de los cuales fue asumida por el Estado Islámico, fallecieron 19 personas y 153 resultaron heridas, quince de ellas en estado grave. Varias explosiones se escucharon en un apartamento en Alcanar. Según los Mossos d’Esquadra en el apartamento había centenares de bombonas de butano y explosivos TATP que tenían que usarse para cometer un mayor atentado en Barcelona.103"
 Finlandia,2017,Atentado de Turku de 2017,"Un marroquí apuñala indiscriminadamente a varias personas en un centro comercial de Turku, la segunda ciudad más grande de Finlandia. El ataque dejó dos muertos y ocho heridos. El atacante gritó «Alá es grande» y fue reducido por la policía.104"
 Rusia,2017,Atentado de Surgut de 2017,"Un hombre armado con un cuchillo apuñala a varias personas en la región de Khany-Mansi, Surgut, Moscú.
El atacante fue abatido por la policía y más tarde, el Estado Islámico reivindicó el apuñalamiento.105"
 Bélgica,2017,Ataque a militares de Bruselas de 2017,"Un somalí ataca un grupo de militares en Bruselas, a las 10:30 p.m. Al menos dos militares resultaron heridos y el atacante murió abatido.
El Estado Islámico se hizo responsable del ataque.106"
 Reino Unido,2017,Atentado tren de Londres 2017,22 personas heridas es el resultado de una explosión en un vagón del Metro de Londres.107
 Canadá,2017,Atentados de Edmonton de 2017,Un miembro del Estado Islámico apuñala a un policía en los alrededores de un estadio de Edmonton. Horas más tarde embiste con una furgoneta a al menos cinco personas en el centro de la ciudad.108
 Francia,2017,Ataque de Marsella de 2017,"Dos mujeres murieron después de ser apuñaladas por un miembro de Estado Islámico en la estación de trenes de Saint Charles de Marsella.
El atacante murió abatido por la policía.109"
 Estados Unidos,2017,Tiroteo de Las Vegas de 2017,"59 personas murieron (incluyendo al tirador) y 851 han resultado heridas tras un tiroteo cerca de un famoso hotel de Las Vegas. El incidente tuvo lugar durante el festival de música country Route 91, celebrado cerca del hotel Mandalay Bay Casino. Los espectadores reportaron un tiroteo mientras el concierto estaba en marcha. Los disparos parecían provenir de un piso superior del hotel, de acuerdo con algunos testigos. Asimismo, el sheriff confirmó que el sospechoso ha sido ultimado en el piso 32 del hotel durante el operativo de la Policía Metropolitana. Además, el funcionario informó que el sospechoso era un residente del estado de Nevada.110"
 Somalia,2017,Masacre de Mogadiscio,"Dos camiones bomba explotan en un hotel famoso y un mercado en Mogadiscio dejado al menos 512 muertos y más de 400 heridos. Es el peor atentado que ha sufrido Somalia en la historia y el segundo del siglo xxi, solo por encima de los atentados del 11-S. Al-Shabbab reivindicó la matanza. Varias protestas se organizaron en la zona para rechazar el terrorismo.111"
 Estados Unidos,2017,Atentado de Nueva York de 2017,"Un camión atropella una multitud de personas en un carril bici al lado del río Hudson, en Manhattan, antes de que empezaran las celebraciones de Halloween. Al menos 8 personas han muerto y 12 han quedado heridas. El atacante fue detenido por la policía y era de nacionalidad uzbeka. El Estado Islámico reivindicó el atropello.112"
 Estados Unidos,2017,Tiroteo en la iglesia de Sutherland Springs,"Un hombre armado con un fusil de asalto disparó contra varias personas en una iglesia de Texas, por motivos personales, dejando 26 muertos y 24 heridos.
Es la peor masacre en la historia de Texas.113"
 Egipto,2017,Atentado de Bir al-Abed de 2017,"Decenas de artefactos y bombas explotan en una mezquita en la Península del Sinaí, Egipto. Más tarde hombres armados y con banderas del Estado Islámico dispararon indiscriminadamente contra los fieles.
Al menos 311 personas han muerto y más de 120 han resultado heridas.114"
 Estados Unidos,2017,Atentado en la terminal de Port Autority,"Un hombre bangladés intenta cometer un atentado suicida en la terminal de buses de Port Autority, Manhattan, Nueva York. El artefacto se incendió y cuatro personas resultaron heridas, incluyendo el atacante, que aseguró que actuaba en respuesta al reconocimiento de Estados Unidos de Jerusalén como capital de Israel.115"
 España,2017,Tiroteos cerca de Teruel,"Dos miembros de la Guardia Civil murieron tiroteados en Albacete del Arzobispo, cerca de Teruel. El atacante huyó con un vehículo y también disparó mortalmente contra un civil. El atacante fue identificado como Norbert Feher y más tarde fue detenido.
También se le acusaba de haber asesinado dos jóvenes en el Embalse de Susqueda, Cataluña, pero finalmente el 25 de febrero de 2018 fue detenido un hombre de 60 años como presunto autor del crimen.116"
 Australia,2017,Atropello en Melbourne,"Un automóvil embiste a una multitud de personas en el centro de Melbourne. Al menos una persona ha muerto y 19 han resultado heridas.
El atacante, de nacionalidad afgana, fue detenido por la policía.117"
 Rusia,2017,Atentado del supermercado Perekrestok de 2017,"Un total de 18 personas resultaron heridas por la explosión de un artefacto casero en un supermercado de San Petersburgo.
El Estado Islámico reivindicó el atentado dos días más tarde.118"
 Francia,2018,Atentado en la prisión de Vendin-le-Vieil de 2018,"Un terrorista yihadista acusado de formar parte del atentado de la sinagoga de la Ghriba en 2002 en Túnez apuñala e hiere a cuatro guardias penitenciarios en una prisión de Vendin-le-Vieil, en el departamento de Pas-de-Calais.119"
 Estados Unidos,2018,Balacera en Harrisburg,"Un alguacil murió y dos resultaron heridos luego de que iniciara una balacera en Harrisburg, Pensilvania, el atacante les disparó mientras ejecutaban una orden federal de arresto según el alcalde de la ciudad.120"
 Afganistán,2018,Atentado contra el Hotel InterContinental Kabul de 2018,"Un asalto con armas automáticas y varias explosiones suicidas en el Hotel InterContinental de Kabul dejan al menos 24 muertos y más de 50 heridos, la mayoría extranjeros, aunque varios medios de comunicación aseguraban que el ataque dejó más de 40 víctimas mortales, no fue corroborado por el gobierno.
El atentado fue reivindicado por un grupo terrorista talibán.121"
 Afganistán,2018,Atentado contra Save the Children de 2018,"Un coche bomba explotó a las afueras de Save The Children en Afganistán, dejando a 6 muertos y a 22 heridos.
El Estado Islámico reivindicó el atentado.122"
 Afganistán,2018,Atentado de Kabul del 27 de enero de 2018,"Una ambulancia cargada con explosivos provoca una grandísima explosión en el centro de Kabul, cerca de la Plaza Sidarat, siete días después del asalto en el Hotel InterContinental. El atentado dejó al menos 103 muertos y 235 heridos, muchos de ellos en estado crítico. La explosión también destruyó vehículos, tiendas, varios edificios cercanos y un puesto policial. Los talibanes reivindicaron el salvaje atentado.123"
 Ecuador,2018,Atentado contra el distrito policial de San Lorenzo de 2018,"Fue un atentado por parte del narcotráfico ocurrido en la ciudad San Lorenzo, Ecuador. Un coche bomba estalló en el edificio policial de San Lorenzo, dejando un saldo de 23 heridos."
 Colombia,2018,Ataques a las estaciones policiales en Colombia de 2018,"Alrededor de 2 ataques en Barranquilla, Soledad y Santa Rosa del Sur se registraron en Colombia. En el primero, un hombre lanzó 2 granadas de mano en la estación policial del barrio San José. Luego, otro atentado en una estación ocurrió desde un taxi en Soledad, dejando 5 muertos y 48 heridos."
 Bolivia,2018,Atentado en Oruro de febrero de 2018,"Un automóvil equipado con dinamita explota entre las calles de Bacovik y Caro, dejando un saldo de 4 muertos y 10 heridos.124"
 Estados Unidos,2018,Tiroteo en la escuela secundaria Douglas de Parkland,"Un joven de 19 años identificado como Nikolas Cruz cometió un tiroteo masivo con un rifle semiautomatico AR-15 en su antigua escuela en Parkland, Florida. El tiroteo acabó con la vida de 17 personas y 15 resultaron heridas. El tirador, que no opuso resistencia al ser detenido por la policía, activó la alarma de incendios para poder disparar a más personas.125"
 Rusia,2018,Tiroteo de la iglesia San Jorge de Kizlyar de 2018,"Una iglesia rusa es atacada por un hombre que llevaba un cuchillo y un rifle de caza, abriendo fuego contra la multitud que estaba en ella, matando a cuatro personas incluyendo al atacante e hiriendo otras cinco.
Se sospecha de que el perpetrador era del Estado Islámico.126"
 México,2018,Atentado contra ferry en Playa del Carmen de 2018,Se produce una explosión en un barco turístico en la ciudad costera de Playa del Carmen en el estado mexicano de Quintana Roo. Se reportan un total de 26 personas lesionadas (entre ellas 3 canadienses y 4 estadounidenses).127
 Somalia,2018,Atentado de Mogadiscio de 2018,"Un doble atentado con coche bomba en Mogadiscio, Somalia deja más de 30 muertos y 20 heridos.
La primera explosión tuvo como objetivo uno de los puestos de control de Villa en Somalía y la otra en la residencia de gobierno.128"
 Burkina Faso,2018,Atentado en Uagadugú de 2018,"Al menos 36 personas han muerto y más de 85 han resultado heridas en una serie de atentados mediante explosiones suicidas y tiroteos en la Embajada de Francia y un cuartel general del ejército en la capital de Burkina Faso. De los 12 asaltantes, 8 han muerto abatidos o al inmolarse. Horas más tarde se produjo un tiroteo en el ayuntamiento de la ciudad.
Al-Qaeda ha reivindicado los ataques.129"
 Austria  Irán,2018,Ataque en la embajada iraní de Viena,Un islamista ataca con un cuchillo a un soldado austríaco que se encontraba vigilando la residencia oficial del embajador iraní en Viena. El soldado resultó herido y el atacante murió abatido.130
 Estados Unidos,2018,Ataques con paquetes bombas en serie en Austin,"Explotan un total de cinco paquetes bomba entre los días 2 y 20 de marzo en la ciudad de Austin, la capital de Texas, en varias residencias privadas y centros de distribución de FedEx. Los atentados dejaron dos muertos y cinco heridos. El sospechoso se suicidó antes de ser detenido por la policía y actuó por motivos raciales.131"
